user_input,bot_response
"Hello","Hi there! How can I assist you today?"
"Hi","Hello! What can I do for you?"
"Hey","Hey! How can I help you today?"
"Good morning","Good morning! How can I assist you?"
"Good afternoon","Good afternoon! What can I do for you?"
"Good evening","Good evening! How can I help you today?"
"Thank you","You're welcome! If you have any other questions, feel free to ask."
"Thanks","No problem! Happy to help."
"Thanks a lot","You're very welcome! Let me know if there's anything else you need."
"I appreciate it","Glad to help! Is there anything else I can assist with?"
"Thank you very much","You're welcome! I'm here if you need anything else."
"Who are you?","I am IVA - Inplass Virtual Assistant. How can I assist you today?"
"What is your name?","I am IVA, the Inplass Virtual Assistant. How can I help you?"
"Tell me about yourself","I am IVA, an AI-powered assistant created to help you with various tasks. How can I assist you today?"
"What can you do?","I can assist you with a wide range of tasks, from answering questions to providing information. How can I help you today?"
"Are you a human?","No, I am IVA, an AI-powered virtual assistant designed to help you with various tasks. How can I assist you today?"
"Who created you?","I was created by the AI developers at Inplass Infotech."
"DEFAULT","I'm sorry, I didn't understand that. Can you please rephrase?"
"DEFAULT","I'm here to help with your queries. Could you please specify your question?"
"DEFAULT","I'm not sure I understand. Could you provide more details?"
"DEFAULT","Can you please clarify your question? I'm here to help."
"DEFAULT","I didn't catch that. Can you please repeat your question?"
"DEFAULT","I'm sorry, I'm not sure how to help with that. Can you ask something else?"
"DEFAULT","Let's try again. What would you like to know?"
"DEFAULT","I don't have an answer for that. Can you ask another question?"
"How can I book a taxi from the hotel?","You can book a taxi from the hotel by contacting the front desk or using our mobile app. Redirecting to taxi booking service."
"Can you arrange a taxi for me to the airport?","Yes, we can arrange a taxi for you to the airport. Redirecting to taxi booking service."
"Can I schedule a taxi pickup for tomorrow morning?","Yes, you can schedule a taxi pickup for tomorrow morning. Redirecting to taxi booking service."
"Is it possible to book a taxi online?","Yes, you can book a taxi online through our website or mobile app. Redirecting to taxi booking."
"Are there any taxi apps you recommend?","We recommend using apps like Uber or Lyft. You can also use our taxi booking services. Redirecting to recommended taxi apps."
"What is your cancellation policy?","Our cancellation policy varies depending on the rate you booked. Please refer to our hotel guidelines. Redirecting to cancellation policy."
"Are pets allowed in the hotel?","Please refer our hotel guidelines about pets. Redirecting to hotel guidelines."
"What are the dining options within the hotel?","please refer our hotel guidelines for more details. Redirecting to hotel guidelines."
"What amenities are included with the room?","Please refer to our hotel guidelines. Redirecting to hotel guidelines."
"Is room service available 24/7?","please refer to our hotel guidelines. Redirecting to hotel guidelines."
"Do you offer haircuts and styling?","Yes, we offer a variety of haircuts and styling services. Redirecting to salon services."
"Do I need to make an appointment for a manicure?","Appointments are recommended for manicures to ensure availability. Redirecting to salon booking."
"What spa treatments do you offer?","please refer our spa services for more details. Redirecting to spa services."
"How can I book a massage session?","You can book a massage session from our app. Redirecting to spa services."
"I want to book gym","redirecting to gym services"
